model_key,model_name,population_id,population_role,evaluation_level,group_value,period_number,horizon_day,series,rows,actual_sum,forecast_sum,error_sum,absolute_error_sum,squared_error_sum,scaled_absolute_error_sum,scaled_absolute_error_count,scaled_squared_error_sum,scaled_squared_error_count,mae,rmse,wape_pct,mase,rmsse,bias_actual_minus_forecast,absolute_bias_pct,mase_coverage_pct,rmsse_coverage_pct
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,global,ALL,,,19831,1322423,1507244.53,1519694.155062089,-12449.625062089104,1345107.430930378,33604145.96299668,1392736.7049454863,1269632,1190730.5464019398,1269632,1.017153687534456,5.040936586935145,89.24281390030175,1.096960934306544,0.968429070078484,-0.009414253277573895,0.8259857517671073,96.00800954006395,96.00800954006395
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,1,1,,18954,132514,139526.93,149283.45440215556,-9756.524402155557,126862.1163179576,720422.9124977114,130236.07652416686,130271,73798.56608057248,130271,0.9573487806417253,2.3316474059196275,90.92303279227716,0.9997319167287183,0.7526621700431714,-0.07362636704163754,6.992574409940473,98.30734865750034,98.30734865750034
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,2,2,,18983,132688,156233.62,144536.2749917751,11697.345008224896,132790.1088567149,25754074.87462238,136971.0222112447,129853,81047.48394082999,129853,1.0007695410038204,13.931797488802722,84.99457982008924,1.0548160012571501,0.7900303484418737,0.08815676631063017,7.487085691431138,97.8634088990715,97.8634088990715
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,3,3,,19021,132905,139305.74,149294.71237961802,-9988.972379618019,125163.95783136804,621344.5676418894,136185.49464630152,129336,80445.60083651758,129336,0.9417550719037511,2.1621986554857773,89.84838516443618,1.0529589182153578,0.7886629468937276,-0.07515874030035001,7.170538973927434,97.31462322711711,97.31462322711711
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,4,4,,19073,133226,141523.03,147745.52479050192,-6222.494790501905,124459.06748067508,651015.0695369903,136567.46411939975,128761,90091.67550002824,128761,0.9341950331067139,2.2105534808310288,87.94262494286271,1.0606275511948475,0.8364695991654664,-0.04670630950791817,4.3968072125801045,96.64855208442796,96.64855208442796
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,5,5,,19119,133381,158761.77000000002,146663.99510542123,12097.774894578775,132652.8875965088,672955.0771413045,141611.84297050734,127912,85239.43703188306,127912,0.9945411085275174,2.246187739835577,83.5546791878856,1.1071036569712562,0.8163279033532231,0.09070088614254486,7.6200806369057075,95.89971585158305,95.89971585158305
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,6,6,,19055,132917,149678.69,152034.4179133393,-2355.7279133393095,131638.2970361515,764267.8529452218,143564.70845710588,126946,383823.24280164426,126946,0.9903796883480028,2.3979080793573058,87.94725357106712,1.1309116353182131,1.7388259969577804,-0.01772330035540457,1.5738565812804144,95.50772286464485,95.50772286464485
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,7,7,,18993,132410,191749.47,153060.42549424092,38689.04450575908,164412.38263082693,2245498.4587487034,157094.1817442664,125875,137396.81121565567,125875,1.2416915839500562,4.1180914609542985,85.74333093636552,1.2480173326257509,1.0447649273645665,0.2921912582566202,20.176871678320193,95.0645721622234,95.0645721622234
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,8,8,,18869,131687,128050.57,165425.66019199314,-37375.09019199316,133139.26469918623,675358.4978701412,135769.42829338295,124916,77934.88828964777,124916,1.0110281553926068,2.2646220543166398,103.9739727040545,1.0868858136138122,0.7898723732471893,-0.28381761443417464,29.18775776788276,94.85826239492128,94.85826239492128
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,9,9,,18810,130825,171459.08000000002,152295.09549861075,19163.984501389248,144448.2688740592,939216.9042645608,143550.3330642452,123610,105639.68538935608,123610,1.1041335285615073,2.6794001574284207,84.24649710826583,1.161316504038874,0.9244570661516097,0.14648564495615707,11.177001825385537,94.48499904452513,94.48499904452513
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,period,10,10,,18636,129870,130955.62999999999,159354.59429443313,-28398.96429443316,129541.07960692975,559991.7477277736,131186.15291486552,122152,75313.15531580489,122152,0.9974673104406695,2.0765213144691352,98.91982468178708,1.073958288974929,0.7852087500090739,-0.21867224373937907,21.685943776860274,94.05713405713406,94.05713405713406
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,horizon,1,,1,19831,189513,165903.59,185645.23037112944,-19741.640371129422,165152.49254861102,709569.8948097101,174739.0763011591,181927,93134.29416098735,181927,0.8714573277221669,1.9349871591901484,99.5472687170971,0.9604900663516636,0.7154943930233845,-0.10417037549471235,11.899465449258466,95.99710837778939,95.99710837778939
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,horizon,2,,2,19825,189350,186990.41,185989.6532731794,1000.756726820599,177614.48942395963,1398536.9855741125,183859.26671001862,181775,121162.09642069909,181775,0.9380221252915745,2.717717577902573,94.98588158823739,1.011466190125257,0.8164250338517746,0.005285221689044621,0.5351914714880828,95.99947187747557,95.99947187747557
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,horizon,3,,3,19815,189176,279787.83,264033.4496445849,15754.38035541507,222124.36572813932,1771791.4029878613,227554.89452588654,181611,151901.16963108687,181611,1.1741677894031977,3.0603653479037303,79.39028860838562,1.2529796902494152,0.9145542748360345,0.08327895904033847,5.630831174971074,96.00107836089144,96.00107836089144
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,horizon,4,,4,19804,188976,354638.14,325483.02731627395,29155.112683726045,267564.56379425613,2395828.115930119,262938.3471085937,181433,198908.7041852015,181433,1.4158653151419023,3.560610781316667,75.44720480269159,1.449231105193618,1.0470532115632891,0.15427944651027667,8.221087749819025,96.00848785030904,96.00848785030904
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,horizon,5,,5,19787,188662,191728.58000000002,188849.82065691327,2878.759343086724,177988.54109397548,25817272.17688432,189699.34542493444,181141,410744.0940273182,181141,0.9434254968884856,11.698036163547476,92.8335989835086,1.0472468708074618,1.505834639756571,0.01525881917443218,1.50147638035327,96.01350563441498,96.01350563441498
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,horizon,6,,6,19775,188467,168894.51,186215.43373431248,-17320.92373431247,167825.23436422777,705855.9721420866,177215.5182395625,180962,100327.95731848489,180962,0.8904754379505577,1.9352647580427538,99.36689733978194,0.9792968592276969,0.7445901578365014,-0.0919042789152078,10.255468774155222,96.0178705025283,96.0178705025283
random_forest_global,Random Forest global,phase11_full_validation,Evaluación completa y cobertura general de Random Forest,horizon,7,,7,19766,188279,159301.47,183477.54006569565,-24176.070065695647,166837.74397720874,805291.4146684658,176730.25663533123,180783,114552.2306581621,180783,0.8861197689450695,2.0681193261501463,104.73082513124878,0.977582276183774,0.7960181693944601,-0.1284055580584964,15.176300674247164,96.01867441403449,96.01867441403449
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,global,ALL,,,17065,1194550,1461918.1800000002,1461429.2690288322,488.910971167812,1277136.3321542374,33447221.620427627,1247372.779025742,1193360,829860.7761773794,1193360,1.0691359358371249,5.291488511955693,87.36031534639218,1.0452610939077411,0.8339055813564865,0.00040928464373011765,0.03344311452285326,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,1,1,,17065,119455,135423.33,142847.34784809596,-7424.017848095953,119987.73443645771,706395.6399139399,112336.05536470821,119336,65568.05931743083,119336,1.0044597081449727,2.431766317169751,88.60196720643165,0.9413425568538263,0.7412426950970348,-0.06214907578666404,5.482081889506006,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,2,2,,17065,119455,151947.30000000002,138706.03947720898,13241.260522791006,126291.18201439409,25743219.30320085,118562.94272191593,119336,72612.35024386385,119336,1.0572280943819354,14.6801083798836,83.11512084413087,0.9935220111442978,0.780044732590161,0.11084726903680052,8.714376973326281,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,3,3,,17065,119455,135084.46,143520.13319895213,-8435.673198952138,118778.57050769308,610221.7390367405,118737.42907250983,119336,69015.59285309195,119336,0.9943373697852168,2.260172941534224,87.92911524219224,0.9949841545929965,0.7604801333981859,-0.07061800007494151,6.244739919715516,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,4,4,,17065,119455,137336.07,141698.18399095023,-4362.113990950229,117715.07602153241,640099.7149498683,119927.7034349816,119336,76490.67270331536,119336,0.9854344817842067,2.3148435834386887,85.71315315891331,1.0049582978730776,0.8006053756258591,-0.03651679704449566,3.176233301965193,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,5,5,,17065,119455,153745.12000000002,140455.32295855592,13289.797041444075,125386.69115533534,660128.442805655,125153.26194097224,119336,75472.03415010654,119336,1.0496562819081272,2.350780374982012,81.55490799014325,1.0487469157753926,0.7952566132799928,0.11125358537896342,8.644044794035786,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,6,6,,17065,119455,144990.71,146091.77676237098,-1101.0667623709817,124487.09665159295,744709.476349989,124396.90963680067,119336,105202.17617005468,119336,1.0421254585542084,2.4968432228906945,85.85867098077729,1.0424089096064948,0.938915748161139,-0.009217418796793619,0.7594050421375147,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,7,7,,17065,119455,185758.25999999998,147393.59564986016,38364.664350139836,156742.417206892,2226948.30422319,142894.76110434637,119336,123568.71057628412,119336,1.312146140445289,4.317704352770175,84.37978327687394,1.1974153742738685,1.017579898141038,0.3211641567966166,20.65300587448431,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,8,8,,17065,119455,124046.63,159616.66866772,-35570.03866771998,126556.89452322273,663087.6248021794,124749.31010981451,119336,70415.58558036026,119336,1.05945246765077,2.356043448063535,102.02364588479568,1.0453619202069326,0.7681546418314352,-0.2977693580655475,28.67473196790592,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,9,9,,17065,119455,166509.41999999998,147017.56953208783,19491.850467912165,137653.09034238907,923823.4127150695,134804.5642024878,119336,99212.53363863222,119336,1.1523426423539331,2.7809444635390688,82.66985155698043,1.1296219431059176,0.9117956835614587,0.16317316535860504,11.706154803681477,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,period,10,10,,17065,119455,127076.88,154082.63094303,-27005.750943029998,123537.57929472803,528587.9624301486,125809.84143720483,119336,72303.06094423965,119336,1.0341767133625888,2.103567575865354,97.21483506262352,1.054248855644607,0.7783816756479506,-0.22607468036524211,21.251506130013574,99.90038089657193,99.90038089657193
random_forest_global,Random Forest global,phase9_comparable_validation,Comparación directa con referencias de Fase 9,horizon,1,,1,17065,170650,160718.58,178206.74426971772,-17488.164269717745,156403.8332250697,694555.8772759449,155577.1608013669,170480,81876.12228193319,170480,0.9165182140349822,2.017439171397677,97.31534040748103,0.9125830642970841,0.6930138507537488,-0.10247972030306325,10.8812336879269,99.90038089657193,99.90038089657193
